MW,FaultType,Rrup,VS30,PGA
6.2,Yanal,78.29,573.04,0.011660444549690206
6.2,Yanal,53.43,453.71,0.02808357984659363
6.2,Yanal,57.38,527.54,0.03633159581289542
6.2,Yanal,63.37,671.52,0.020143777386840832
6.2,Yanal,69.31,704.96,0.01621406874697095
6.2,Yanal,74.06,573.04,0.012607245072330435
6.2,Yanal,82.38,616.17,0.008668460951141212
6.63,Yanal,129.11,442.88,0.0441603475047808
6.8,Ters,151.69,274.77,0.004559282619304269
5.33,Ters,30.11,301.95,0.01754495890896442
5.33,Ters,20.24,667.13,0.16707036290829683
5.33,Ters,73.67,316.46,0.018998601539613382
5.33,Ters,19.35,813.48,0.0440338959555829
3.81,Yanal,96.21,465.0,0.0005613541260207856
3.81,Yanal,140.49,420.96,0.0001303628211749807
3.81,Yanal,43.79,439.0,0.0009140944941163358
6.2,Yanal,61.54,510.62,0.012675000363538457
6.2,Yanal,60.84,734.26,0.01994538973464294
6.2,Yanal,50.83,728.01,0.02372882331679976
6.2,Yanal,47.62,418.24,0.09490773521959629
6.2,Yanal,69.0,845.34,0.025885947939899748
6.2,Yanal,62.37,419.63,0.03596377596578257
6.2,Yanal,69.7,528.12,0.03240214161166512
6.2,Yanal,83.71,373.54,0.01065524160421574
6.2,Ters,135.8,433.88,0.017309070306865126
6.2,Ters,126.79,538.69,0.028586103319293097
6.2,Ters,155.41,631.27,0.006499519186703275
6.2,Ters,150.8,662.78,0.006458806327102865
6.2,Ters,131.51,807.68,0.009216104438396572
6.2,Ters,155.23,671.52,0.004615105462146992
6.2,Ters,142.89,856.38,0.013125498609100531
6.2,Ters,152.13,1022.77,0.007683521063248086
4.59,Normal,236.05,399.9,0.00026446581747931056
6.8,Ters,206.46,524.27,0.005951638995805609
4.59,Normal,405.91,470.57,1.8001986557044197e-05
4.59,Normal,419.72,521.55,8.134984174539001e-06
4.59,Normal,187.87,580.0,0.0016179933022772376
7.62,Ters,0.66,579.1,0.39974067584619155
7.62,Ters,11.37,535.13,0.11181787056213331
6.2,Ters,139.82,188.02,0.02032731478031469
6.2,Ters,144.64,416.34,0.013986869995463603
6.2,Ters,144.5,206.24,0.01732426437619214
6.2,Ters,142.66,538.69,0.019373931916928995
6.2,Ters,134.86,236.32,0.016535517562193208
6.2,Ters,149.57,429.49,0.02110390112094681
4.59,Normal,265.55,396.06,0.00033338711121802533
6.2,Ters,135.65,497.22,0.008461194973642316
6.2,Ters,125.48,463.88,0.01175042029444479
